,PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
63,Omari Moore,SG,-%,9.00,10.25,6' 5.25'',,8' 7.5'',188.6,6' 9.75''
64,Oscar Tshiebwe,C,-%,9.75,10.25,6' 7.25'',,9' 0.00'',253.6,7' 3.50''
65,Rayan Rupert,SF,-%,8.50,9.50,6' 6.00'',,8' 10.00'',193.2,7' 2.00''
66,Reece Beekman,PG,-%,8.50,8.25,6' 1.50'',,8' 4.50'',190.6,6' 7.00''
67,Ricky Council IV,SF,-%,7.75,8.50,6' 5.00'',,8' 7.00'',208.0,6' 9.00''
68,Ryan Kalkbrenner,C,-%,9.25,11.00,7' 0.75'',,9' 4.50'',251.8,7' 5.00''
69,Scoot Henderson,PG,-%,-,-,,,,-,
70,Seth Lundy,SF,-%,8.50,9.00,6' 4.00'',,8' 8.00'',214.4,6' 10.25''
71,Sidy Cissoko,SF,-%,9.25,10.00,6' 5.50'',,8' 8.00'',223.8,6' 9.75''
72,Taylor Hendricks,PF,-%,9.25,10.25,6' 8.25'',,8' 11.00'',213.6,7' 0.50''
73,Terquavion Smith,SG,-%,8.50,8.00,6' 2.50'',,8' 2.00'',163.2,6' 6.75''
74,Terrence Shannon Jr.,SF,-%,8.25,8.00,6' 5.50'',,8' 6.00'',220.0,6' 8.00''
75,Toumani Camara,PF,-%,9.00,10.00,6' 7.00'',,8' 11.00'',220.4,7' 0.50''
76,Trayce Jackson-Davis,C,-%,9.25,10.75,6' 8.25'',,8' 10.00'',240.4,7' 1.00''
77,Trey Alexander,SG,-%,8.50,8.75,6' 3.25'',,8' 5.50'',184.6,6' 10.00''
78,Tristan Vukcevic,C,-%,9.00,10.25,6' 11.25'',,9' 3.00'',223.4,7' 2.50''
79,Victor Wembanyama,C,-%,-,-,,,,-,
80,Zach Edey,C,-%,9.75,11.00,7' 3.25'',,9' 7.50'',306.4,7' 10.50''
